id,name,tvg_name,group,reason
PayvandTV.us@SD,Payvand TV (720p),,News,no-safe-match
PBSKidsAlaska.us@SD,PBS Kids Alaska (1080p),,Education;Kids,no-safe-match
PBSKidsEasternCentral.us@SD,PBS Kids Eastern/Central (720p),,Education;Kids,no-safe-match
PBSKidsHawaii.us@SD,PBS Kids Hawaii (720p),,Education;Kids,no-safe-match
PBSKidsMountain.us@SD,PBS Kids Mountain (1080p),,Education;Kids,no-safe-match
PBSKidsPacific.us@SD,PBS Kids Pacific (1080p),,Education;Kids,no-safe-match
Placid.us@EastHD,Placid (1080p) [Not 24/7],,Animation,no-safe-match
PlutoTVPokemon.us@US,Pokémon,,Animation;Kids,no-safe-match
RallyTV.us@SD,Rally TV (1080p),,Sports,no-safe-match
RedseatTheFirst.us@SD,Redseat The First (720p),,News,no-safe-match
REVNAction.us@SD,Rev'n Action (720p),,Auto;Outdoor;Series;Sports,no-safe-match
Roar.us@SD,Roar (1080p),,Entertainment,no-safe-match
Runtime.us@SD,Runtime (720p),,Movies,no-safe-match
SCCurrents.us@SD,SC Currents,,News,no-safe-match
Shabakeh7.us@SD,Shabakeh 7,,Entertainment,no-safe-match
SonyCanalNovelas.us@SD,Sony Canal Novelas,,Movies,no-safe-match
StarChannelInternational.gr@HD,STAR International (720p),,Entertainment,no-safe-match
SuperSimpleSongs.us@SD,Super Simple Songs (1080p),,Kids,no-safe-match
Survivor.us@SD,Survivor (1080p),,Series,no-safe-match
TalkinLiveClassicsTV.us@SD,Talkin Live Classics TV (480p),,Entertainment,no-safe-match
TeleBoston.us@SD,Tele Boston (480p),,Entertainment,no-safe-match
TeleMIX.us@SD,TeleMIX (720p),,Entertainment,no-safe-match
TelemundoCorpusChristi.us@SD,Telemundo Corpus Christi (720p),,Entertainment,no-safe-match
TennisChannel.us@SD,Tennis Channel (1080p),,Sports,matched-but-zero-programmes
TerraMaterWILD.de@English,Terra Mater WILD English (1080p),,Documentary,no-safe-match
TheChatShowChannel.uk@SD,The Chat Show Channel (1080p),,Comedy;Series,no-safe-match
TheYoungTurks.us@SD,The Young Turks (1080p) [Geo-blocked],,News,no-safe-match
TinTV.us@SD,Tin TV (720p),,Entertainment,no-safe-match
TomAndJerry.do@HD,Tom And Jerry (720p),,Kids,no-safe-match
TopStoriesbyNewsy.us@SD,Top Stories by Newsy (720p),,News,no-safe-match
TurismoHD.do@HD,Turismo HD (720p),,Entertainment,no-safe-match
TVSBowlingNetwork.us@SD,TVS Bowling Network (720p),,Sports,no-safe-match
TVSBoxing.us@SD,TVS Boxing (360p),,Sports,no-safe-match
TVSClassicSports.us@SD,TVS Classic Sports (360p),,Sports,no-safe-match
TVSComedyNetwork.us@SD,TVS Comedy Network (720p),,Comedy,no-safe-match
TVSDriveInMovie.us@SD,TVS Drive In Movie (360p),,Movies,no-safe-match
TVSFilmNoirNetwork.us@SD,TVS Film Noir Network (720p),,Movies,no-safe-match
TVSFlashbackNetwork.us@SD,TVS Flashback Network (360p),,Entertainment,no-safe-match
TVSHiTops.us@SD,TVS Hi Tops (720p),,Kids,no-safe-match
TVSPinballNetwork.us@SD,TVS Pinball Network (480p),,Kids,no-safe-match
TVSSports.us@SD,TVS Sports (720p) [Not 24/7],,Sports,no-safe-match
TVSSportsBureau.us@SD,TVS Sports Bureau (720p),,Sports,no-safe-match
TVSTurbo.us@SD,TVS Turbo (360p),,Sports,no-safe-match
TVSVintageNetwork.us@SD,TVS Vintage Network (360p),,Entertainment,no-safe-match
TVSWomenSports.us@SD,TVS Women Sports (720p),,Sports,no-safe-match
UniversalComedy.us@SD,"like Gecko) Chrome/124.0.0.0 Safari/537.36"" group-title=""Comedy;Movies;Series"",Universal Comedy (1080p)",,Comedy;Movies;Series,no-safe-match
USANetwork.us@East,USA Network (1080p),,Comedy;Movies;Series;Sports,matched-but-zero-programmes
VoATVPersian.us@SD,VOA Persian (1080p),,News,no-safe-match
VoATV.us@SD,VOA TV Africa (1080p),,News,no-safe-match
W14DKD142.us@SD,W14DK-D 14.2 NEWSNET,,News,no-safe-match
WatchitKID.us@SD,Watch it KID! (720p),,Kids,no-safe-match
WGALDT3.us@SD,WGAL-DT3 (1080p) [Geo-blocked],,News,no-safe-match
WGGSTV162.us@SD,WGGS-DT2 (720p),,News,no-safe-match
WhiplashCinema.us@SD,Whiplash Cinema (480p),,Movies,no-safe-match
WildNOut.us@SD,Wild 'N Out,,Series,no-safe-match
WSOCNow.us@SD,WSOC Now (1080p) [Geo-blocked],,News,no-safe-match
WWONTVChannel48.us@SD,WWON TV CH 48,,Entertainment,no-safe-match
YoungHollywood.us@SD,Young Hollywood (1080p) [Geo-blocked],,Entertainment,no-safe-match
YTATV.us@SD,YTA TV (720p),,Entertainment,no-safe-match
ZoomNews.us@SD,Zoom TV Kurdish (720p),,News,no-safe-match
TNTInternational.ru@SD,"like Gecko) Chrome/144.0.0.0 Safari/537.36"" group-title=""Entertainment"",ТНТ International (480p)",,Entertainment,no-safe-match
