id,name,tvg_name,group,source,source_id,method,score,programmes
AtHomewithFamilyHandyman.us@SD,At Home with Family Handyman (720p),,Series,IPTV-EPG.org US,AtHomewithFamilyHandyman.us,primary-exact-normalized-name,95,217
AWE.us@SD,AWE (720p),,General,IPTV-EPG.org US,AWE.us,primary-exact-normalized-name,95,275
AWEPlus.us@SD,AWE Plus (720p),,General,IPTV-EPG.org US,AWEPlus.us,primary-exact-normalized-name,95,260
AXSTV.us@SD,AXS TV (720p),,Music,IPTV-EPG.org US,AXSTV.us,primary-exact-normalized-name,95,269
BabySharkTV.us@SD,Baby Shark TV (1080p),,Kids,IPTV-EPG.org US,BabySharkTV.pluto,primary-exact-id-base,94,55
BabyFirst.us@Spanish,BabyFirst Spanish (720p),,Kids,IPTV-EPG.org US,BabyFirst.us,primary-exact-normalized-name,95,319
BabyTV.uk@LatinAmerica,BabyTV Latin America (720p),,Kids,IPTV-EPG.org US,BabyTV.us,primary-exact-normalized-name,95,323
BarRescue.us@SD,Bar Rescue,,Series,IPTV-EPG.org US,BarRescue.pluto,primary-exact-id-base,94,30
Baywatch.us@US,Baywatch (1080p),,Series,EPGShare Plex,plex.tv.Baywatch.plex,fallback-exact-normalized-name,95,115
BBCAmerica.us@East,BBC America (720p),,Entertainment,EPGShare US2,BBC.America.HD.us2,fallback-exact-normalized-name,95,68
DoctorWhoClassic.us@US,BBC Doctor Who Classic (1080p),,Series,IPTV-EPG.org US,DoctorWhoClassic.pluto,primary-exact-id-base,94,61
BBCEarth.uk@US,BBC Earth (1080p),,Documentary,IPTV-EPG.org US,BBCEarth.us,primary-exact-normalized-name,95,205
BBCFood.us@SD,BBC Food (1080p),,Cooking,IPTV-EPG.org US,BBCFood.us,primary-exact-normalized-name,95,205
BBCHomeGarden.us@SD,BBC Home & Garden (1080p),,Lifestyle,IPTV-EPG.org US,BBCHomAndGarden.us,primary-exact-normalized-name,95,40
beINSPORTSXTRA.us@SD,beIN SPORTS XTRA (1080p),,Sports,IPTV-EPG.org US,beINSportsXtra.us,primary-exact-normalized-name,95,188
beINSPORTSXTRAenEspanol.us@SD,beIN SPORTS XTRA en Espanol (1080p),,Sports,EPGShare Plex,plex.tv.beIN.Sports.Xtra.en.Español.plex,fallback-exact-normalized-name,95,89
BellatorMMA.us@SD,Bellator MMA,,Sports,IPTV-EPG.org US,BellatorMMA.pluto,primary-exact-id-base,94,21
BestofDrPhil.us@SD,Best of Dr. Phil,,Entertainment,IPTV-EPG.org US,BestofDr.Phil.pluto,primary-exact-id-base,94,30
BET.us@East,BET (720p),,Undefined,EPGShare US2,BET.HD.us2,fallback-exact-normalized-name,95,132
BETCinema.us@SD,BET Cinema,,Movies,IPTV-EPG.org US,BETCinema.pluto,primary-exact-id-base,94,15
BETComedyMovies.us@SD,BET Comedy Movies,,Movies,IPTV-EPG.org US,BETComedyMovies.pluto,primary-exact-id-base,94,13
BETHer.us@East,BET Her (720p),,Entertainment,EPGShare US2,BET.Her.us2,fallback-exact-normalized-name,95,103
BETJams.us@SD,BET Jams (720p),,Undefined,IPTV-EPG.org US,BETJams.us,primary-exact-id-base,94,161
BETPlutoTV.us@US,BET Pluto TV,,Entertainment,IPTV-EPG.org US,BETPlutoTV.pluto,primary-exact-id-base,94,37
BETSoul.us@SD,BET Soul (720p),,Undefined,IPTV-EPG.org US,BETSOUL.us,primary-exact-normalized-name,95,112
BETThrowbacks.us@SD,BET Throwbacks,,Comedy,IPTV-EPG.org US,BETThrowbacks.pluto,primary-exact-id-base,94,58
BETVisionaries.us@SD,BET Visionaries,,Movies,IPTV-EPG.org US,BETVisionaries.pluto,primary-exact-id-base,94,12
BET.us@West,BET West (720p),,Undefined,EPGShare US2,BET.HD.us2,fallback-exact-normalized-name,95,132
BeverlyHillbillies.us@US,Beverly Hillbillies,,Classic,IPTV-EPG.org US,BeverlyHillbillies.pluto,primary-exact-id-base,94,58
BeverlyHills90210.us@SD,Beverly Hills 90210,,Series,IPTV-EPG.org US,BeverlyHills90210.pluto,primary-exact-id-base,94,30
BeyondtheGates.us@SD,Beyond the Gates,,Entertainment,IPTV-EPG.org US,BeyondtheGates.pluto,primary-exact-id-base,94,37
BigBrother.us@SD,Big Brother,,Entertainment,IPTV-EPG.org US,BigBrother.pluto,primary-exact-id-base,94,28
BigTenNetwork.us@SD,Big Ten Network (720p),,Undefined,IPTV-EPG.org US,BigTen.us,primary-exact-normalized-name,95,176
BilliardTV.us@SD,Billiard TV (1080p) [Geo-blocked],,Sports,IPTV-EPG.org US,BilliardTV.us,primary-exact-normalized-name,95,89
BizTV.us@SD,Biz TV (1080p),,Lifestyle,EPGShare US2,Biz.TV.us2,fallback-exact-normalized-name,95,145
BlackFamilySitcoms.us@SD,Black Family Sitcoms,,Comedy,IPTV-EPG.org US,BlackFamilySitcoms.pluto,primary-exact-id-base,94,58
BlackInkCrew.us@SD,Black Ink Crew,,Series,IPTV-EPG.org US,BlackInkCrew.pluto,primary-exact-id-base,94,30
BlazeLive.us@SD,Blaze Live (720p),,News,IPTV-EPG.org US,BlazeLive.pluto,primary-exact-id-base,94,24
BloombergOriginals.us@US,Bloomberg Originals (1080p),,Business;Documentary,IPTV-EPG.org US,BloombergOriginals.us,primary-exact-normalized-name,95,234
