id,name,group,exact_mappings,attempts_prepared
Roar.us@SD,Roar (1080p),Entertainment,0,0
StarChannelInternational.gr@HD,STAR International (720p),Entertainment,0,0
Shabakeh7.us@SD,Shabakeh 7,Entertainment,0,0
TVSFlashbackNetwork.us@SD,TVS Flashback Network (360p),Entertainment,0,0
TVSVintageNetwork.us@SD,TVS Vintage Network (360p),Entertainment,0,0
TalkinLiveClassicsTV.us@SD,Talkin Live Classics TV (480p),Entertainment,0,0
TeleBoston.us@SD,Tele Boston (480p),Entertainment,0,0
TeleMIX.us@SD,TeleMIX (720p),Entertainment,0,0
TelemundoCorpusChristi.us@SD,Telemundo Corpus Christi (720p),Entertainment,0,0
TinTV.us@SD,Tin TV (720p),Entertainment,0,0
TurismoHD.do@HD,Turismo HD (720p),Entertainment,0,0
WWONTVChannel48.us@SD,WWON TV CH 48,Entertainment,0,0
YTATV.us@SD,YTA TV (720p),Entertainment,0,0
YoungHollywood.us@SD,Young Hollywood (1080p) [Geo-blocked],Entertainment,0,0
TNTInternational.ru@SD,"like Gecko) Chrome/144.0.0.0 Safari/537.36"" group-title=""Entertainment"",ТНТ International (480p)",Entertainment,0,0
ETVTelugu.in@USA,"like Gecko) Chrome/145.0.0.0 Safari/537.36"" group-title=""Entertainment"",ETV Telugu USA (720p)",Entertainment,0,0
KCWX351.us@HD,myTV San Antonio TX (KCWX-TV) (720p) [Not 24/7],Entertainment,0,0
30ATVClassicMovies.us@SD,30A TV Classic Movies (720p),Movies,0,0
ABNBibleMoviesChannel.us@SD,ABN Bible Movies (720p),Movies;Religious,0,0
AdrenalinaPuraTV.us@SD,Adrenalina Pura TV (720p),Movies,0,2
AmericanHorrors.us@SD,American Horrors (480p),Movies,0,0
ARTFLIXMovieClassics.us@SD,Artflix Movie Classics (720p),Classic;Movies,0,1
EBSCinema.us@SD,EBS Cinema (720p),Movies,0,0
PlutoTVEstrellasdeAccion.us@SD,Estrellas de Acción,Movies,0,3
KPVMLD252.us@SD,KPVM Movies!,Movies,0,1
MagnificentMoviesNetwork.us@SD,Magnificent Movies Network,Movies;Shop,0,0
WhiplashCinema.us@SD,Whiplash Cinema (480p),Movies,0,0
PlutoTVDogelcazarrecompensas.us@SD,Dog el cazarrecompensas,Series,0,3
InstantSaga.us@US,Instant Saga,Series,0,2
PlutoTVMinutoParaGanar.us@SD,Minuto Para Ganar,Series,0,3
PlutoTVMisteriosMedicos.us@SD,Misterios Medicos,Series,0,3
PlutoTVSanctuary.us@SD,Sanctuary,Series,0,2
TheChatShowChannel.uk@SD,The Chat Show Channel (1080p),Comedy;Series,0,0
PlutoTVWipeout.us@SD,Wipeout,Series,0,3
3ABNKids.us@SD,3ABN Kids Network,Animation;Kids;Religious,0,1
BBCKids.us@SD,BBC Kids (720p),Kids,0,2
BabyFirst.us@US,BabyFirst (720p),Kids,2,2
ChristianYouthChannelCYC.us@SD,Christian Youth Channel (CYC) (1080p),Kids;Religious,0,0
GiggleMug.us@SD,Giggle Mug (576p),Kids,0,0
LogosTVKids.es@SD,Logos TV Kids (720p) [Not 24/7],Kids;Religious,0,0
MCN6MusicChannel.us@SD,MCN6 Music Channel (1080p) [Not 24/7],Animation;Kids;Music,0,0
NCMEducationalKidsChannel.us@SD,NCM Educational & Kids Channel,Education;Kids,0,0
PBSKidsAlaska.us@SD,PBS Kids Alaska (1080p),Education;Kids,0,0
PBSKidsEasternCentral.us@SD,PBS Kids Eastern/Central (720p),Education;Kids,1,1
PBSKidsHawaii.us@SD,PBS Kids Hawaii (720p),Education;Kids,0,0
PBSKidsMountain.us@SD,PBS Kids Mountain (1080p),Education;Kids,0,0
PBSKidsPacific.us@SD,PBS Kids Pacific (1080p),Education;Kids,0,0
TomAndJerry.do@HD,Tom And Jerry (720p),Kids,0,0
Atlas.us@SD,Atlas (480p),Documentary,0,0
BloombergOriginals.us@SD,Bloomberg Originals (1080p),Business;Documentary,14,5
Docurama.us@SD,Docurama (1080p),Documentary,1,1
KPVMLD256.us@SD,KPVM Story Television,Documentary,0,0
KTOOTV33.us@HD,KTOO 360TV 3 (FNX),Documentary,0,0
NationalGeographic.us@East,National Geographic (720p),Documentary,4,4
NationalGeographicWild.us@East,National Geographic Wild (720p),Documentary,4,4
30ARidiculousTV.us@SD,30A Ridiculous TV (720p),Comedy,0,0
AFVEspanol.us@SD,AFV en Español (720p) [Not 24/7],Comedy,0,0
CameraSmileTV.us@SD,Camera Smile (480p),Comedy,0,0
ComedyCentralAnimation.us@SD,Comedy Central Animation,Comedy,0,3
Gagsnetwork.us@SD,Gagsnetwork (576p),Comedy,0,1
HumorMill.us@SD,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Comedy"",Humor Mill (1080p)",Comedy,9,5
KMBYLD275.us@SD,Blues TV,Animation,0,3
Narutoenespanol.us@SD,Naruto,Animation,0,3
Placid.us@EastHD,Placid (1080p) [Not 24/7],Animation,0,0
