id,name,group,match_kind,match_score,candidate_xmltv_id,candidate_name,site,attempt_used,programmes,success
RTenEspanol.ru@SD,RT en Espanol (1080p),News,exact,1.0000,RTenEspanol.ru@SD,RT TV,cableplus.com.uy,1,58,YES
RedseatTheFirst.us@SD,Redseat The First (720p),News,,,,,,,0,NO
SCCurrents.us@SD,SC Currents,News,,,,,,,0,NO
TheYoungTurks.us@SD,The Young Turks (1080p) [Geo-blocked],News,,,,,,,0,NO
TopStoriesbyNewsy.us@SD,Top Stories by Newsy (720p),News,,,,,,,0,NO
VoATVPersian.us@SD,VOA Persian (1080p),News,,,,,,,0,NO
VoATV.us@SD,VOA TV Africa (1080p),News,,,,,,,0,NO
W14DKD142.us@SD,W14DK-D 14.2 NEWSNET,News,,,,,,,0,NO
WBRZTV21.us@HD,WBRZ Weather Channel Baton Rouge LA (480p),News;Weather,exact,1.0000,WBRZTV21.us@HD,"ABC (WBRZ) Baton Rouge, LA HD",tvpassport.com,1,27,YES
WGALDT3.us@SD,WGAL-DT3 (1080p) [Geo-blocked],News,,,,,,,0,NO
WGGSTV162.us@SD,WGGS-DT2 (720p),News,,,,,,,0,NO
WJBK21.us@HD,WJBK-DT1 (1080p),News,exact,1.0000,WJBK21.us@HD,"FOX (WJBK) Detroit, MI DV",tvpassport.com,1,24,YES
WSOCNow.us@SD,WSOC Now (1080p) [Geo-blocked],News,,,,,,,0,NO
ZoomNews.us@SD,Zoom TV Kurdish (720p),News,,,,,,,0,NO
30ASidewalks.us@SD,30A Sidewalks (720p),Entertainment,,,,,,,0,NO
30ATelevisionChannel.us@SD,30A Television Channel (720p),Entertainment,,,,,,,0,NO
AbsoluteRealitybyWETV.us@SD,AMC Absolute Reality,Entertainment,,,,,,,0,NO
BarkTV.us@SD,Bark TV (1080p),Entertainment,,,,,,,0,NO
CrimePlusInvestigation.us@SD,Crime + Investigation (720p),Entertainment,exact,1.0000,CrimePlusInvestigation.us@SD,Crime & Investigation Network,tvguide.com,1,32,YES
MeritStreet.us@SD,Dr Phil's MeritTV (1080p),Entertainment,,,,,,,0,NO
FreebieTV.us@SD,Freebie TV (720p) [Not 24/7],Entertainment,,,,,,,0,NO
GlobalWorldTV.us@SD,GlobalWorldTV (720p),Entertainment,,,,,,,0,NO
Heartland.us@Eastern,Heartland (720p),Entertainment,exact,1.0000,Heartland.us@Eastern,Heartland,xumo.tv,1,33,YES
KContentbyCJENM.us@SD,K Content by CJ ENM (1080p),Entertainment,,,,,,,0,NO
KCKSLD253.us@HD,KCKS-LD 25.3 (720p),Entertainment,,,,,,,0,NO
KQED92.us@HD,KQED-DT2 (1080p),Entertainment,,,,,,,0,NO
KRGVTV52.us@HD,KRGV-DT2 [Geo-blocked],Entertainment,,,,,,,0,NO
KVIE62.us@HD,KVIE-DT2 (1080p),Entertainment,,,,,,,0,NO
KVVBLD331.us@SD,KVVB-TV 33 Victor Valley (1080p) [Not 24/7],Entertainment,,,,,,,0,NO
MCN6MainChannel.us@SD,MCN6 (1080p) [Not 24/7],Entertainment;General,,,,,,,0,NO
Olelo55.us@SD,Olelo Community Media Channel 55 (720p),Entertainment,,,,,,,0,NO
